,region,cache_mode,is_cross_region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,False,0.2789393703777779,0.24349482412727283
1,ORE_1,NO_CACHE,False,0.4159418066666669,0.4829086404423073
2,SGP_1,NO_CACHE,True,0.20755364803921525,0.20863394053061246
3,ORE_1,NO_CACHE,True,0.4111298376585377,0.41353101672881304
4,SGP_1,LOCAL,False,0.034179964352940226,0.035734281306125534
5,ORE_1,LOCAL,False,0.24851073576086968,0.25759076025926064
6,SGP_1,LOCAL,True,0.20039400120754716,0.20163129672340452
7,ORE_1,LOCAL,True,0.4198821176222231,0.4131687275818179
8,SGP_1,REDIS,False,0.03663666365908824,0.03785319955357126
9,ORE_1,REDIS,False,0.25172095399999667,0.25908096667347297
10,SGP_1,REDIS,True,0.19824625979245364,0.19994672699999924
11,ORE_1,REDIS,True,0.41056974136000124,0.41194905439999957
12,SGP_1,IDEAL,False,0.033964328060002345,0.035550078999993955
13,ORE_1,IDEAL,False,0.24552547793999566,0.25651994662000105
14,SGP_1,IDEAL,True,0.1956255416779606,0.19714952217073117
15,ORE_1,IDEAL,True,0.4050339172499979,0.4063923527708357
