,region,cache_mode,is_cross_region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,False,0.19859943299999827,0.200650970249999
1,SGP_2,NO_CACHE,False,0.19644017900000676,0.2219963639999989
2,SGP_1,NO_CACHE,True,0.2008948590000017,0.20309224550000238
3,SGP_2,NO_CACHE,True,0.19521411099999852,0.19681452099999674
4,SGP_1,LOCAL,False,0.034774024500002554,0.03499504099999721
5,SGP_2,LOCAL,False,0.03301374850000016,0.031742785000005824
6,SGP_1,LOCAL,True,0.20102531000000567,0.20096553449999632
7,SGP_2,LOCAL,True,0.1952337516666726,0.19696393299999926
8,SGP_1,REDIS,False,0.03458447366667391,0.03520973900000257
9,SGP_2,REDIS,False,0.0332489704999972,0.03415606366666187
10,SGP_1,REDIS,True,0.20186902649999894,0.20262896966666707
11,SGP_2,REDIS,True,0.19635349466666696,0.19664383450000145
12,SGP_1,IDEAL,False,0.03486233299999716,0.03433102099999985
13,SGP_2,IDEAL,False,0.032004409499997166,0.03274112666666914
14,SGP_1,IDEAL,True,0.19965662066667278,0.19940966499999746
15,SGP_2,IDEAL,True,0.19543031099999553,0.19529022274999264
