,region,cache_mode,is_cross_region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,False,0.199145976,0.19842923781676414
1,ORE_1,NO_CACHE,False,0.1991673003033367,0.19954904166666665
2,SGP_1,NO_CACHE,True,0.20233570468431772,0.20570434171907756
3,ORE_1,NO_CACHE,True,0.20008934422880492,0.2014432103626943
4,SGP_1,LOCAL,False,0.03456839630390143,0.03678434456928839
5,ORE_1,LOCAL,False,0.11385990105263157,0.11663759523809523
6,SGP_1,LOCAL,True,0.19935161494252873,0.1997852494802495
7,ORE_1,LOCAL,True,0.1190390533596838,0.11589867107942974
8,SGP_1,REDIS,False,0.04471058928571428,0.0461052181425486
9,ORE_1,REDIS,False,0.12757324351297405,0.1323989761658031
10,SGP_1,REDIS,True,0.20162470425531914,0.2065818792079208
11,ORE_1,REDIS,True,0.11997508368644068,0.12161646102021174
12,SGP_1,IDEAL,False,0.03388520669291338,0.03577303151260504
13,ORE_1,IDEAL,False,0.11178642520491802,0.120868082
14,SGP_1,IDEAL,True,0.19662522265625,0.19788356184486375
15,ORE_1,IDEAL,True,0.11542991666666667,0.11525885641025642
