,region,cache_mode,is_cross_region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,False,0.22835266666666665,0.2084525
1,ORE_1,NO_CACHE,False,0.4567824166666667,0.319069125
2,SGP_1,NO_CACHE,True,0.2515415,0.212587
3,ORE_1,NO_CACHE,True,0.3090955,0.3427475
4,SGP_1,LOCAL,False,0.034759125,0.0375895
5,ORE_1,LOCAL,False,0.09965963636363635,0.2080327777777778
6,SGP_1,LOCAL,True,0.2442136,0.2522992
7,ORE_1,LOCAL,True,0.33734545454545456,0.3223942222222222
8,SGP_1,REDIS,False,0.03969583333333333,0.05225675
9,ORE_1,REDIS,False,0.1548907272727273,0.1533728888888889
10,SGP_1,REDIS,True,0.2539598,0.2366172
11,ORE_1,REDIS,True,0.3257974,0.3306288
12,SGP_1,IDEAL,False,0.243286,0.037668
13,ORE_1,IDEAL,False,0.2546248,0.1341018
14,SGP_1,IDEAL,True,0.25646275,0.23813233333333333
15,ORE_1,IDEAL,True,0.3685610833333333,0.277299375
