,region,cache_mode,is_cross_region,average_read_time,average_update_time
0,SGP_1,NO_CACHE,False,0.2116857115041318,0.20818978611363623
1,ORE_1,NO_CACHE,False,0.21261574779591846,0.2082853342741933
2,SGP_1,NO_CACHE,True,0.20283978806400113,0.2063917891750009
3,ORE_1,NO_CACHE,True,0.2037455503376082,0.2045184586411293
4,SGP_1,LOCAL,False,0.03681645667226962,0.03683852448888821
5,ORE_1,LOCAL,False,0.12449316326984322,0.11768668602713137
6,SGP_1,LOCAL,True,0.20720602191538545,0.20980552431355892
7,ORE_1,LOCAL,True,0.12548282949392905,0.12348430923305027
8,SGP_1,REDIS,False,0.03662878346031697,0.04241825802158161
9,ORE_1,REDIS,False,0.11932496389199605,0.12051017986194067
10,SGP_1,REDIS,True,0.20520960337718938,0.20710178765467788
11,ORE_1,REDIS,True,0.11431932592623231,0.12284272932727039
12,SGP_1,IDEAL,False,0.036804054420633024,0.03882275624193844
13,ORE_1,IDEAL,False,0.1185756390756953,0.1179407111666644
14,SGP_1,IDEAL,True,0.20309394295385522,0.20645300756799953
15,ORE_1,IDEAL,True,0.11996081875197057,0.1260963318143456
