,region,cache_mode,average_read_time,average_update_time,is_cross_region
0,SGP_1,NO_CACHE,0.19934523311063798,0.19875859887336272,False
1,ORE_1,NO_CACHE,0.19832695741020373,0.1988484140965793,False
2,SGP_1,NO_CACHE,0.19831602837052717,0.19942861979809484,True
3,ORE_1,NO_CACHE,0.2007966130821363,0.20145130195711508,True
4,SGP_1,LOCAL,0.03407171638167657,0.035492379258556965,False
5,ORE_1,LOCAL,0.10952002667003903,0.11477436961867951,False
6,SGP_1,LOCAL,0.11329594354207727,0.1185087831431476,True
7,ORE_1,LOCAL,0.11467827952096056,0.1168503319679348,True
8,SGP_1,REDIS,0.03929774341572687,0.04187149386475689,False
9,ORE_1,REDIS,0.11921183726915494,0.12247325681558083,False
10,SGP_1,REDIS,0.12654832922744408,0.12884643280769065,True
11,ORE_1,REDIS,0.12380820406498495,0.1307829461795643,True
12,SGP_1,IDEAL,0.033565424899601945,0.03560888887250801,False
13,ORE_1,IDEAL,0.11566461138787978,0.11345535227442714,False
14,SGP_1,IDEAL,0.11526256603966546,0.12315963107676609,True
15,ORE_1,IDEAL,0.11581874819226605,0.11636147554361864,True
